,Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
158,1975,f,1975f,J,The Netherlands,United Kingdom,4
159,1975,f,1975f,J,The Netherlands,Yugoslavia,3
160,1975,f,1975f,J,Turkey,France,1
161,1975,f,1975f,J,Turkey,Israel,6
162,1975,f,1975f,J,Turkey,Italy,10
163,1975,f,1975f,J,Turkey,Luxembourg,5
164,1975,f,1975f,J,Turkey,Malta,2
165,1975,f,1975f,J,Turkey,Portugal,12
166,1975,f,1975f,J,Turkey,Spain,3
167,1975,f,1975f,J,Turkey,Sweden,8
168,1975,f,1975f,J,Turkey,Switzerland,7
169,1975,f,1975f,J,Turkey,The Netherlands,4
170,1975,f,1975f,J,United Kingdom,Finland,4
171,1975,f,1975f,J,United Kingdom,France,8
172,1975,f,1975f,J,United Kingdom,Ireland,6
173,1975,f,1975f,J,United Kingdom,Israel,1
174,1975,f,1975f,J,United Kingdom,Italy,10
175,1975,f,1975f,J,United Kingdom,Luxembourg,3
176,1975,f,1975f,J,United Kingdom,Monaco,2
177,1975,f,1975f,J,United Kingdom,Sweden,7
178,1975,f,1975f,J,United Kingdom,Switzerland,5
179,1975,f,1975f,J,United Kingdom,The Netherlands,12
180,1975,f,1975f,J,Yugoslavia,Belgium,3
181,1975,f,1975f,J,Yugoslavia,Finland,5
182,1975,f,1975f,J,Yugoslavia,Ireland,1
183,1975,f,1975f,J,Yugoslavia,Italy,10
184,1975,f,1975f,J,Yugoslavia,Luxembourg,7
185,1975,f,1975f,J,Yugoslavia,Malta,2
186,1975,f,1975f,J,Yugoslavia,Spain,4
187,1975,f,1975f,J,Yugoslavia,Sweden,6
188,1975,f,1975f,J,Yugoslavia,The Netherlands,8
189,1975,f,1975f,J,Yugoslavia,United Kingdom,12
190,1976,f,1976f,J,Austria,Belgium,3
191,1976,f,1976f,J,Austria,Finland,7
192,1976,f,1976f,J,Austria,France,12
193,1976,f,1976f,J,Austria,Ireland,2
194,1976,f,1976f,J,Austria,Israel,6
195,1976,f,1976f,J,Austria,Italy,1
196,1976,f,1976f,J,Austria,Monaco,5
197,1976,f,1976f,J,Austria,Switzerland,8
198,1976,f,1976f,J,Austria,The Netherlands,4
199,1976,f,1976f,J,Austria,United Kingdom,10
200,1976,f,1976f,J,Belgium,Austria,3
201,1976,f,1976f,J,Belgium,France,10
202,1976,f,1976f,J,Belgium,Germany,1
203,1976,f,1976f,J,Belgium,Greece,2
204,1976,f,1976f,J,Belgium,Israel,5
205,1976,f,1976f,J,Belgium,Luxembourg,6
206,1976,f,1976f,J,Belgium,Monaco,8
207,1976,f,1976f,J,Belgium,Switzerland,7
208,1976,f,1976f,J,Belgium,The Netherlands,4
209,1976,f,1976f,J,Belgium,United Kingdom,12
210,1976,f,1976f,J,Finland,Austria,5
211,1976,f,1976f,J,Finland,Belgium,12
212,1976,f,1976f,J,Finland,France,3
213,1976,f,1976f,J,Finland,Greece,4
214,1976,f,1976f,J,Finland,Israel,8
215,1976,f,1976f,J,Finland,Italy,6
216,1976,f,1976f,J,Finland,Monaco,2
217,1976,f,1976f,J,Finland,Portugal,1
218,1976,f,1976f,J,Finland,Switzerland,7
219,1976,f,1976f,J,Finland,United Kingdom,10
220,1976,f,1976f,J,France,Belgium,5
221,1976,f,1976f,J,France,Germany,2
222,1976,f,1976f,J,France,Greece,8
223,1976,f,1976f,J,France,Ireland,3
224,1976,f,1976f,J,France,Italy,10
225,1976,f,1976f,J,France,Portugal,12
226,1976,f,1976f,J,France,Spain,1
227,1976,f,1976f,J,France,Switzerland,6
228,1976,f,1976f,J,France,United Kingdom,7
229,1976,f,1976f,J,France,Yugoslavia,4
230,1976,f,1976f,J,Germany,Austria,10
231,1976,f,1976f,J,Germany,Finland,6
232,1976,f,1976f,J,Germany,France,12
233,1976,f,1976f,J,Germany,Ireland,1
234,1976,f,1976f,J,Germany,Israel,3
235,1976,f,1976f,J,Germany,Monaco,7
236,1976,f,1976f,J,Germany,Switzerland,5
237,1976,f,1976f,J,Germany,The Netherlands,4
238,1976,f,1976f,J,Germany,United Kingdom,8
239,1976,f,1976f,J,Germany,Yugoslavia,2
240,1976,f,1976f,J,Greece,Austria,6
241,1976,f,1976f,J,Greece,France,5
242,1976,f,1976f,J,Greece,Ireland,8
243,1976,f,1976f,J,Greece,Italy,10
244,1976,f,1976f,J,Greece,Portugal,4
245,1976,f,1976f,J,Greece,Spain,1
246,1976,f,1976f,J,Greece,Switzerland,2
247,1976,f,1976f,J,Greece,The Netherlands,7
248,1976,f,1976f,J,Greece,United Kingdom,12
249,1976,f,1976f,J,Greece,Yugoslavia,3
250,1976,f,1976f,J,Ireland,Austria,10
251,1976,f,1976f,J,Ireland,Finland,5
252,1976,f,1976f,J,Ireland,France,7
253,1976,f,1976f,J,Ireland,Israel,4
254,1976,f,1976f,J,Ireland,Italy,12
255,1976,f,1976f,J,Ireland,Luxembourg,6
256,1976,f,1976f,J,Ireland,Monaco,8
257,1976,f,1976f,J,Ireland,Switzerland,1
258,1976,f,1976f,J,Ireland,The Netherlands,2
259,1976,f,1976f,J,Ireland,United Kingdom,3
260,1976,f,1976f,J,Israel,Austria,10
261,1976,f,1976f,J,Israel,Belgium,1
262,1976,f,1976f,J,Israel,Finland,6
263,1976,f,1976f,J,Israel,France,5
264,1976,f,1976f,J,Israel,Ireland,3
265,1976,f,1976f,J,Israel,Italy,2
266,1976,f,1976f,J,Israel,Monaco,7
267,1976,f,1976f,J,Israel,Switzerland,4
268,1976,f,1976f,J,Israel,The Netherlands,8
269,1976,f,1976f,J,Israel,United Kingdom,12
270,1976,f,1976f,J,Italy,Belgium,8
271,1976,f,1976f,J,Italy,France,6
272,1976,f,1976f,J,Italy,Greece,5
273,1976,f,1976f,J,Italy,Ireland,12
274,1976,f,1976f,J,Italy,Israel,10
275,1976,f,1976f,J,Italy,Monaco,7
276,1976,f,1976f,J,Italy,Portugal,1
277,1976,f,1976f,J,Italy,Spain,3
278,1976,f,1976f,J,Italy,The Netherlands,2
279,1976,f,1976f,J,Italy,United Kingdom,4
280,1976,f,1976f,J,Luxembourg,Austria,5
281,1976,f,1976f,J,Luxembourg,France,10
282,1976,f,1976f,J,Luxembourg,Germany,2
283,1976,f,1976f,J,Luxembourg,Ireland,3
284,1976,f,1976f,J,Luxembourg,Israel,7
285,1976,f,1976f,J,Luxembourg,Monaco,12
286,1976,f,1976f,J,Luxembourg,Portugal,6
287,1976,f,1976f,J,Luxembourg,Switzerland,1
288,1976,f,1976f,J,Luxembourg,The Netherlands,4
289,1976,f,1976f,J,Luxembourg,United Kingdom,8
290,1976,f,1976f,J,Monaco,Austria,5
291,1976,f,1976f,J,Monaco,Belgium,8
292,1976,f,1976f,J,Monaco,Finland,7
293,1976,f,1976f,J,Monaco,France,12
294,1976,f,1976f,J,Monaco,Ireland,6
295,1976,f,1976f,J,Monaco,Israel,1
296,1976,f,1976f,J,Monaco,Spain,3
297,1976,f,1976f,J,Monaco,Switzerland,4
298,1976,f,1976f,J,Monaco,The Netherlands,2
299,1976,f,1976f,J,Monaco,United Kingdom,10
300,1976,f,1976f,J,Norway,Austria,2
301,1976,f,1976f,J,Norway,Belgium,6
302,1976,f,1976f,J,Norway,Finland,4
303,1976,f,1976f,J,Norway,France,8
304,1976,f,1976f,J,Norway,Israel,7
305,1976,f,1976f,J,Norway,Italy,3
306,1976,f,1976f,J,Norway,Monaco,5
307,1976,f,1976f,J,Norway,Switzerland,10
308,1976,f,1976f,J,Norway,The Netherlands,1
309,1976,f,1976f,J,Norway,United Kingdom,12
310,1976,f,1976f,J,Portugal,Belgium,8
311,1976,f,1976f,J,Portugal,France,5
312,1976,f,1976f,J,Portugal,Greece,1
313,1976,f,1976f,J,Portugal,Israel,2
314,1976,f,1976f,J,Portugal,Italy,10
315,1976,f,1976f,J,Portugal,Monaco,3
316,1976,f,1976f,J,Portugal,Norway,4
317,1976,f,1976f,J,Portugal,Switzerland,7
318,1976,f,1976f,J,Portugal,The Netherlands,6
319,1976,f,1976f,J,Portugal,United Kingdom,12
320,1976,f,1976f,J,Spain,Austria,8
321,1976,f,1976f,J,Spain,Finland,6
322,1976,f,1976f,J,Spain,France,10
323,1976,f,1976f,J,Spain,Germany,2
324,1976,f,1976f,J,Spain,Ireland,5
325,1976,f,1976f,J,Spain,Israel,1
326,1976,f,1976f,J,Spain,Monaco,7
327,1976,f,1976f,J,Spain,Switzerland,4
328,1976,f,1976f,J,Spain,The Netherlands,3
329,1976,f,1976f,J,Spain,United Kingdom,12
330,1976,f,1976f,J,Switzerland,Austria,3
331,1976,f,1976f,J,Switzerland,Belgium,6
332,1976,f,1976f,J,Switzerland,France,10
333,1976,f,1976f,J,Switzerland,Germany,2
334,1976,f,1976f,J,Switzerland,Israel,7
335,1976,f,1976f,J,Switzerland,Italy,8
336,1976,f,1976f,J,Switzerland,Monaco,5
337,1976,f,1976f,J,Switzerland,The Netherlands,4
338,1976,f,1976f,J,Switzerland,United Kingdom,12
339,1976,f,1976f,J,Switzerland,Yugoslavia,1
340,1976,f,1976f,J,The Netherlands,Austria,7
341,1976,f,1976f,J,The Netherlands,Belgium,4
342,1976,f,1976f,J,The Netherlands,Finland,1
343,1976,f,1976f,J,The Netherlands,France,12
344,1976,f,1976f,J,The Netherlands,Israel,2
345,1976,f,1976f,J,The Netherlands,Luxembourg,5
346,1976,f,1976f,J,The Netherlands,Monaco,8
347,1976,f,1976f,J,The Netherlands,Norway,3
348,1976,f,1976f,J,The Netherlands,Switzerland,6
349,1976,f,1976f,J,The Netherlands,United Kingdom,10
350,1976,f,1976f,J,United Kingdom,Austria,4
351,1976,f,1976f,J,United Kingdom,Belgium,7
352,1976,f,1976f,J,United Kingdom,Finland,2
353,1976,f,1976f,J,United Kingdom,France,8
354,1976,f,1976f,J,United Kingdom,Ireland,10
355,1976,f,1976f,J,United Kingdom,Israel,6
356,1976,f,1976f,J,United Kingdom,Italy,1
357,1976,f,1976f,J,United Kingdom,Monaco,5
358,1976,f,1976f,J,United Kingdom,Spain,3
359,1976,f,1976f,J,United Kingdom,Switzerland,12
360,1976,f,1976f,J,Yugoslavia,Austria,2
361,1976,f,1976f,J,Yugoslavia,France,12
362,1976,f,1976f,J,Yugoslavia,Germany,3
363,1976,f,1976f,J,Yugoslavia,Ireland,1
364,1976,f,1976f,J,Yugoslavia,Israel,8
365,1976,f,1976f,J,Yugoslavia,Italy,6
366,1976,f,1976f,J,Yugoslavia,Monaco,4
367,1976,f,1976f,J,Yugoslavia,Switzerland,7
368,1976,f,1976f,J,Yugoslavia,The Netherlands,5
369,1976,f,1976f,J,Yugoslavia,United Kingdom,10
370,1977,f,1977f,J,Austria,Finland,6
371,1977,f,1977f,J,Austria,France,7
372,1977,f,1977f,J,Austria,Germany,2
373,1977,f,1977f,J,Austria,Greece,4
374,1977,f,1977f,J,Austria,Ireland,5
375,1977,f,1977f,J,Austria,Israel,3
376,1977,f,1977f,J,Austria,Monaco,8
377,1977,f,1977f,J,Austria,Spain,1
378,1977,f,1977f,J,Austria,Switzerland,10
379,1977,f,1977f,J,Austria,United Kingdom,12
380,1977,f,1977f,J,Belgium,France,4
381,1977,f,1977f,J,Belgium,Greece,6
382,1977,f,1977f,J,Belgium,Ireland,3
383,1977,f,1977f,J,Belgium,Israel,1
384,1977,f,1977f,J,Belgium,Monaco,2
385,1977,f,1977f,J,Belgium,Norway,5
386,1977,f,1977f,J,Belgium,Spain,7
387,1977,f,1977f,J,Belgium,Switzerland,8
388,1977,f,1977f,J,Belgium,The Netherlands,10
389,1977,f,1977f,J,Belgium,United Kingdom,12
390,1977,f,1977f,J,Finland,Austria,1
391,1977,f,1977f,J,Finland,Belgium,3
392,1977,f,1977f,J,Finland,France,12
393,1977,f,1977f,J,Finland,Greece,6
394,1977,f,1977f,J,Finland,Italy,2
395,1977,f,1977f,J,Finland,Luxembourg,8
396,1977,f,1977f,J,Finland,Monaco,5
397,1977,f,1977f,J,Finland,Spain,7
398,1977,f,1977f,J,Finland,Switzerland,10
399,1977,f,1977f,J,Finland,United Kingdom,4
400,1977,f,1977f,J,France,Finland,4
401,1977,f,1977f,J,France,Germany,1
402,1977,f,1977f,J,France,Greece,3
403,1977,f,1977f,J,France,Ireland,10
404,1977,f,1977f,J,France,Israel,2
405,1977,f,1977f,J,France,Italy,7
406,1977,f,1977f,J,France,Monaco,5
407,1977,f,1977f,J,France,Portugal,6
408,1977,f,1977f,J,France,The Netherlands,8
409,1977,f,1977f,J,France,United Kingdom,12
410,1977,f,1977f,J,Germany,Belgium,8
411,1977,f,1977f,J,Germany,France,12
412,1977,f,1977f,J,Germany,Greece,4
413,1977,f,1977f,J,Germany,Ireland,5
414,1977,f,1977f,J,Germany,Italy,3
415,1977,f,1977f,J,Germany,Monaco,6
416,1977,f,1977f,J,Germany,Portugal,1
417,1977,f,1977f,J,Germany,Spain,7
418,1977,f,1977f,J,Germany,Sweden,2
419,1977,f,1977f,J,Germany,United Kingdom,10
420,1977,f,1977f,J,Greece,Austria,3
421,1977,f,1977f,J,Greece,Belgium,5
422,1977,f,1977f,J,Greece,Finland,2
423,1977,f,1977f,J,Greece,France,7
424,1977,f,1977f,J,Greece,Germany,8
425,1977,f,1977f,J,Greece,Ireland,10
426,1977,f,1977f,J,Greece,Monaco,12
427,1977,f,1977f,J,Greece,Spain,4
428,1977,f,1977f,J,Greece,Switzerland,6
429,1977,f,1977f,J,Greece,The Netherlands,1
430,1977,f,1977f,J,Ireland,Belgium,4
431,1977,f,1977f,J,Ireland,Finland,12
432,1977,f,1977f,J,Ireland,France,10
433,1977,f,1977f,J,Ireland,Germany,1
434,1977,f,1977f,J,Ireland,Israel,7
435,1977,f,1977f,J,Ireland,Italy,8
436,1977,f,1977f,J,Ireland,Luxembourg,2
437,1977,f,1977f,J,Ireland,Monaco,5
438,1977,f,1977f,J,Ireland,Switzerland,6
439,1977,f,1977f,J,Ireland,The Netherlands,3
440,1977,f,1977f,J,Israel,Belgium,6
441,1977,f,1977f,J,Israel,Finland,7
442,1977,f,1977f,J,Israel,France,10
443,1977,f,1977f,J,Israel,Germany,5
444,1977,f,1977f,J,Israel,Greece,3
445,1977,f,1977f,J,Israel,Ireland,12
446,1977,f,1977f,J,Israel,Monaco,2
447,1977,f,1977f,J,Israel,Switzerland,4
448,1977,f,1977f,J,Israel,The Netherlands,1
449,1977,f,1977f,J,Israel,United Kingdom,8
450,1977,f,1977f,J,Italy,France,10
451,1977,f,1977f,J,Italy,Germany,6
452,1977,f,1977f,J,Italy,Greece,1
453,1977,f,1977f,J,Italy,Ireland,8
454,1977,f,1977f,J,Italy,Monaco,12
455,1977,f,1977f,J,Italy,Norway,5
456,1977,f,1977f,J,Italy,Portugal,3
457,1977,f,1977f,J,Italy,Spain,7
458,1977,f,1977f,J,Italy,Switzerland,4
459,1977,f,1977f,J,Italy,United Kingdom,2
460,1977,f,1977f,J,Luxembourg,Belgium,4
461,1977,f,1977f,J,Luxembourg,France,10
462,1977,f,1977f,J,Luxembourg,Germany,2
463,1977,f,1977f,J,Luxembourg,Greece,6
464,1977,f,1977f,J,Luxembourg,Ireland,8
465,1977,f,1977f,J,Luxembourg,Monaco,1
466,1977,f,1977f,J,Luxembourg,Norway,3
467,1977,f,1977f,J,Luxembourg,Spain,7
468,1977,f,1977f,J,Luxembourg,Switzerland,5
469,1977,f,1977f,J,Luxembourg,United Kingdom,12
470,1977,f,1977f,J,Monaco,Austria,5
471,1977,f,1977f,J,Monaco,France,4
472,1977,f,1977f,J,Monaco,Germany,1
473,1977,f,1977f,J,Monaco,Greece,10
474,1977,f,1977f,J,Monaco,Ireland,8
475,1977,f,1977f,J,Monaco,Israel,7
476,1977,f,1977f,J,Monaco,Italy,6
477,1977,f,1977f,J,Monaco,Portugal,2
478,1977,f,1977f,J,Monaco,The Netherlands,3
479,1977,f,1977f,J,Monaco,United Kingdom,12
480,1977,f,1977f,J,Norway,Austria,2
481,1977,f,1977f,J,Norway,Belgium,6
482,1977,f,1977f,J,Norway,Finland,8
483,1977,f,1977f,J,Norway,France,3
484,1977,f,1977f,J,Norway,Greece,4
485,1977,f,1977f,J,Norway,Ireland,12
486,1977,f,1977f,J,Norway,Israel,5
487,1977,f,1977f,J,Norway,Monaco,1
488,1977,f,1977f,J,Norway,Switzerland,10
489,1977,f,1977f,J,Norway,United Kingdom,7
490,1977,f,1977f,J,Portugal,Belgium,7
491,1977,f,1977f,J,Portugal,France,5
492,1977,f,1977f,J,Portugal,Germany,8
493,1977,f,1977f,J,Portugal,Greece,10
494,1977,f,1977f,J,Portugal,Ireland,1
495,1977,f,1977f,J,Portugal,Italy,3
496,1977,f,1977f,J,Portugal,Monaco,6
497,1977,f,1977f,J,Portugal,Norway,2
498,1977,f,1977f,J,Portugal,Switzerland,4
499,1977,f,1977f,J,Portugal,United Kingdom,12
500,1977,f,1977f,J,Spain,France,10
501,1977,f,1977f,J,Spain,Germany,5
502,1977,f,1977f,J,Spain,Greece,12
503,1977,f,1977f,J,Spain,Ireland,4
504,1977,f,1977f,J,Spain,Israel,6
505,1977,f,1977f,J,Spain,Italy,2
506,1977,f,1977f,J,Spain,Luxembourg,7
507,1977,f,1977f,J,Spain,Monaco,8
508,1977,f,1977f,J,Spain,The Netherlands,1
509,1977,f,1977f,J,Spain,United Kingdom,3
510,1977,f,1977f,J,Sweden,Belgium,4
511,1977,f,1977f,J,Sweden,Finland,2
512,1977,f,1977f,J,Sweden,France,6
513,1977,f,1977f,J,Sweden,Germany,5
514,1977,f,1977f,J,Sweden,Greece,7
515,1977,f,1977f,J,Sweden,Ireland,12
516,1977,f,1977f,J,Sweden,Israel,3
517,1977,f,1977f,J,Sweden,Monaco,10
518,1977,f,1977f,J,Sweden,Norway,1
519,1977,f,1977f,J,Sweden,United Kingdom,8
520,1977,f,1977f,J,Switzerland,Finland,5
521,1977,f,1977f,J,Switzerland,France,12
522,1977,f,1977f,J,Switzerland,Greece,1
523,1977,f,1977f,J,Switzerland,Ireland,8
524,1977,f,1977f,J,Switzerland,Israel,10
525,1977,f,1977f,J,Switzerland,Italy,2
526,1977,f,1977f,J,Switzerland,Monaco,6
527,1977,f,1977f,J,Switzerland,Portugal,4
528,1977,f,1977f,J,Switzerland,Spain,3
529,1977,f,1977f,J,Switzerland,The Netherlands,7
530,1977,f,1977f,J,The Netherlands,Belgium,12
531,1977,f,1977f,J,The Netherlands,Finland,4
532,1977,f,1977f,J,The Netherlands,France,8
533,1977,f,1977f,J,The Netherlands,Germany,3
534,1977,f,1977f,J,The Netherlands,Greece,10
535,1977,f,1977f,J,The Netherlands,Ireland,1
536,1977,f,1977f,J,The Netherlands,Israel,5
537,1977,f,1977f,J,The Netherlands,Portugal,2
538,1977,f,1977f,J,The Netherlands,Spain,6
539,1977,f,1977f,J,The Netherlands,United Kingdom,7
540,1977,f,1977f,J,United Kingdom,Belgium,10
541,1977,f,1977f,J,United Kingdom,France,6
542,1977,f,1977f,J,United Kingdom,Germany,8
543,1977,f,1977f,J,United Kingdom,Greece,5
544,1977,f,1977f,J,United Kingdom,Ireland,12
545,1977,f,1977f,J,United Kingdom,Monaco,7
546,1977,f,1977f,J,United Kingdom,Norway,2
547,1977,f,1977f,J,United Kingdom,Spain,3
548,1977,f,1977f,J,United Kingdom,Switzerland,4
549,1977,f,1977f,J,United Kingdom,The Netherlands,1
550,1978,f,1978f,J,Austria,Belgium,4
551,1978,f,1978f,J,Austria,Denmark,2
552,1978,f,1978f,J,Austria,France,12
553,1978,f,1978f,J,Austria,Greece,3
554,1978,f,1978f,J,Austria,Ireland,6
555,1978,f,1978f,J,Austria,Israel,8
556,1978,f,1978f,J,Austria,Monaco,1
557,1978,f,1978f,J,Austria,Spain,7
558,1978,f,1978f,J,Austria,Switzerland,10
559,1978,f,1978f,J,Austria,United Kingdom,5
560,1978,f,1978f,J,Belgium,France,8
561,1978,f,1978f,J,Belgium,Germany,5
