Country,Year,Stage,Edition,Odd
Armenia,2016,f,2016f,0.8717988514667082
Malta,2016,f,2016f,0.8752134099022195
Bulgaria,2016,f,2016f,0.8002483315225828
United Kingdom,2016,f,2016f,0.7844171969579389
Spain,2016,f,2016f,0.812509700450101
The Netherlands,2016,f,2016f,0.7468570541673134
Austria,2016,f,2016f,0.7249728387397175
Latvia,2016,f,2016f,0.6967251280459413
Belgium,2016,f,2016f,0.6922241191991308
Italy,2016,f,2016f,0.6692534533602359
Cyprus,2016,f,2016f,0.6149309327952817
Israel,2016,f,2016f,0.5921154741580009
Poland,2016,f,2016f,0.4999223963991929
Lithuania,2016,f,2016f,0.444979047027782
Serbia,2016,f,2016f,0.35154431165606076
Azerbaijan,2016,f,2016f,0.2334316312276889
Hungary,2016,f,2016f,0.096228465000776
Croatia,2016,f,2016f,0.040974701226136785
Georgia,2016,f,2016f,0.0335247555486572
Czechia,2016,f,2016f,0.0
Germany,2016,f,2016f,0.038957007605152645
Russia,2016,Sf1,2016sf1,1.0
Armenia,2016,Sf1,2016sf1,0.9987179487179487
Malta,2016,Sf1,2016sf1,0.9948717948717949
The Netherlands,2016,Sf1,2016sf1,0.9923076923076923
Iceland,2016,Sf1,2016sf1,0.9916666666666667
Cyprus,2016,Sf1,2016sf1,0.9903846153846154
Hungary,2016,Sf1,2016sf1,0.9871794871794872
Czechia,2016,Sf1,2016sf1,0.9807692307692307
Azerbaijan,2016,Sf1,2016sf1,0.9762820512820513
Croatia,2016,Sf1,2016sf1,0.9685897435897436
Bosnia & Herzegovina,2016,Sf1,2016sf1,0.9602564102564103
Austria,2016,Sf1,2016sf1,0.9230769230769231
Estonia,2016,Sf1,2016sf1,0.8961538461538462
Greece,2016,Sf1,2016sf1,0.8282051282051281
Finland,2016,Sf1,2016sf1,0.46794871794871795
Moldova,2016,Sf1,2016sf1,0.2692307692307693
San Marino,2016,Sf1,2016sf1,0.17948717948717952
Montenegro,2016,Sf1,2016sf1,0.0
Ukraine,2016,Sf2,2016sf2,1.0
Australia,2016,Sf2,2016sf2,0.999165971643036
Serbia,2016,Sf2,2016sf2,0.9958298582151794
Latvia,2016,Sf2,2016sf2,0.9908256880733947
Belgium,2016,Sf2,2016sf2,0.9908256880733947
Bulgaria,2016,Sf2,2016sf2,0.9899916597164304
Israel,2016,Sf2,2016sf2,0.9866555462885739
Lithuania,2016,Sf2,2016sf2,0.9766472060050043
Poland,2016,Sf2,2016sf2,0.9599666388657215
Norway,2016,Sf2,2016sf2,0.9307756463719767
Georgia,2016,Sf2,2016sf2,0.9165971643035865
North Macedonia,2016,Sf2,2016sf2,0.8507089241034197
Denmark,2016,Sf2,2016sf2,0.8373644703919935
Belarus,2016,Sf2,2016sf2,0.834862385321101
Ireland,2016,Sf2,2016sf2,0.7773144286905757
Slovenia,2016,Sf2,2016sf2,0.6880733944954129
Albania,2016,Sf2,2016sf2,0.31192660550458723
Switzerland,2016,Sf2,2016sf2,0.0
Bulgaria,2017,f,2017f,1.0
Portugal,2017,f,2017f,1.0
Italy,2017,f,2017f,0.9904474610356964
Belgium,2017,f,2017f,0.9914529914529915
Romania,2017,f,2017f,0.9653092006033183
Sweden,2017,f,2017f,0.9532428355957768
Croatia,2017,f,2017f,0.9250879839115134
United Kingdom,2017,f,2017f,0.9049773755656109
Moldova,2017,f,2017f,0.9049773755656109
France,2017,f,2017f,0.9049773755656109
Armenia,2017,f,2017f,0.9049773755656109
Norway,2017,f,2017f,0.864756158873806
The Netherlands,2017,f,2017f,0.7038712921065862
Australia,2017,f,2017f,0.8044243338360986
Denmark,2017,f,2017f,0.8044243338360986
Azerbaijan,2017,f,2017f,0.8044243338360986
Hungary,2017,f,2017f,0.7038712921065862
Germany,2017,f,2017f,0.2011060834590247
Poland,2017,f,2017f,0.5027652086475616
Greece,2017,f,2017f,0.4022121669180493
Austria,2017,f,2017f,0.4022121669180493
Belarus,2017,f,2017f,0.4022121669180493
Cyprus,2017,f,2017f,0.4022121669180493
Ukraine,2017,f,2017f,0.2011060834590247
Israel,2017,f,2017f,0.0
Spain,2017,f,2017f,0.0
Sweden,2017,sf1,2017sf1,1.0
Armenia,2017,sf1,2017sf1,1.0
Portugal,2017,sf1,2017sf1,1.0
Azerbaijan,2017,sf1,2017sf1,0.9869739478957916
Moldova,2017,sf1,2017sf1,0.9819639278557114
Greece,2017,sf1,2017sf1,0.9819639278557114
Belgium,2017,sf1,2017sf1,0.9819639278557114
Finland,2017,sf1,2017sf1,0.9739478957915831
Australia,2017,sf1,2017sf1,0.9619238476953909
Cyprus,2017,sf1,2017sf1,0.9569138276553106
Poland,2017,sf1,2017sf1,0.9519038076152304
Latvia,2017,sf1,2017sf1,0.8466933867735471
Georgia,2017,sf1,2017sf1,0.7264529058116233
Slovenia,2017,sf1,2017sf1,0.6913827655310623
Iceland,2017,sf1,2017sf1,0.6513026052104209
Montenegro,2017,sf1,2017sf1,0.4008016032064129
Albania,2017,sf1,2017sf1,0.3006012024048097
Czechia,2017,sf1,2017sf1,0.0
Bulgaria,2017,sf2,2017sf2,1.0
Romania,2017,sf2,2017sf2,0.9983333333333334
The Netherlands,2017,sf2,2017sf2,0.9975000000000002
Israel,2017,sf2,2017sf2,0.9916666666666668
Denmark,2017,sf2,2017sf2,0.9883333333333334
Hungary,2017,sf2,2017sf2,0.9900000000000001
Estonia,2017,sf2,2017sf2,0.9750000000000001
Belarus,2017,sf2,2017sf2,0.9750000000000001
Croatia,2017,sf2,2017sf2,0.9666666666666668
Austria,2017,sf2,2017sf2,0.9583333333333335
Norway,2017,sf2,2017sf2,0.8958333333333335
Serbia,2017,sf2,2017sf2,0.8541666666666669
Switzerland,2017,sf2,2017sf2,0.8500000000000002
North Macedonia,2017,sf2,2017sf2,0.8125000000000001
Malta,2017,sf2,2017sf2,0.7083333333333333
Ireland,2017,sf2,2017sf2,0.5833333333333333
Lithuania,2017,sf2,2017sf2,0.5
San Marino,2017,sf2,2017sf2,0.0
Cyprus,2018,f,2018f,1.0
Israel,2018,f,2018f,0.9964859437751004
Germany,2018,f,2018f,0.9822623828647925
Ireland,2018,f,2018f,0.9571619812583668
Estonia,2018,f,2018f,0.9203480589022758
Sweden,2018,f,2018f,0.8902275769745649
Lithuania,2018,f,2018f,0.8701472556894244
United Kingdom,2018,f,2018f,0.9036144578313253
Norway,2018,f,2018f,0.8701472556894244
France,2018,f,2018f,0.8366800535475234
Italy,2018,f,2018f,0.8366800535475234
Australia,2018,f,2018f,0.7831325301204819
Finland,2018,f,2018f,0.7831325301204819
Czechia,2018,f,2018f,0.7831325301204819
Moldova,2018,f,2018f,0.7831325301204819
Bulgaria,2018,f,2018f,0.7195448460508701
Denmark,2018,f,2018f,0.6693440428380187
Hungary,2018,f,2018f,0.6693440428380187
The Netherlands,2018,f,2018f,0.5856760374832664
Austria,2018,f,2018f,0.5856760374832664
Ukraine,2018,f,2018f,0.3346720214190093
Spain,2018,f,2018f,0.3346720214190093
Portugal,2018,f,2018f,0.3346720214190093
Albania,2018,f,2018f,0.3346720214190093
Slovenia,2018,f,2018f,0.3346720214190093
Serbia,2018,f,2018f,0.0
Cyprus,2018,sf1,2018sf1,1.0
Israel,2018,sf1,2018sf1,0.999165971643036
Estonia,2018,sf1,2018sf1,0.9966638865721436
Czechia,2018,sf1,2018sf1,0.9966638865721436
Bulgaria,2018,sf1,2018sf1,0.993327773144287
Lithuania,2018,sf1,2018sf1,0.9883236030025022
Austria,2018,sf1,2018sf1,0.9716430358632194
Greece,2018,sf1,2018sf1,0.9507923269391161
Switzerland,2018,sf1,2018sf1,0.9549624687239368
Armenia,2018,sf1,2018sf1,0.9299416180150126
Finland,2018,sf1,2018sf1,0.9299416180150126
Belgium,2018,sf1,2018sf1,0.8757297748123437
Azerbaijan,2018,sf1,2018sf1,0.8715596330275232
Belarus,2018,sf1,2018sf1,0.8340283569641369
Albania,2018,sf1,2018sf1,0.7714762301918267
Ireland,2018,sf1,2018sf1,0.7923269391159301
Croatia,2018,sf1,2018sf1,0.6255212677231026
North Macedonia,2018,sf1,2018sf1,0.16680567139282734
Iceland,2018,sf1,2018sf1,0.0
Sweden,2018,sf2,2018sf2,1.0
Norway,2018,sf2,2018sf2,0.999165971643036
Ukraine,2018,sf2,2018sf2,0.9966638865721436
Moldova,2018,sf2,2018sf2,0.9941618015012511
Denmark,2018,sf2,2018sf2,0.993327773144287
Australia,2018,sf2,2018sf2,0.9908256880733947
Hungary,2018,sf2,2018sf2,0.9841534612176815
The Netherlands,2018,sf2,2018sf2,0.9674728940783988
Poland,2018,sf2,2018sf2,0.9532944120100084
Malta,2018,sf2,2018sf2,0.9449541284403671
Romania,2018,sf2,2018sf2,0.8965804837364472
Slovenia,2018,sf2,2018sf2,0.9007506255212678
Russia,2018,sf2,2018sf2,0.8548790658882403
Latvia,2018,sf2,2018sf2,0.8340283569641369
Serbia,2018,sf2,2018sf2,0.7089241034195163
Montenegro,2018,sf2,2018sf2,0.5838198498748958
Georgia,2018,sf2,2018sf2,0.3336113427856547
San Marino,2018,sf2,2018sf2,0.0
The Netherlands,2019,f,2019f,1.0
Italy,2019,f,2019f,0.9856029999330372
Switzerland,2019,f,2019f,0.9802682975826432
Australia,2019,f,2019f,0.9800227673489431
Sweden,2019,f,2019f,0.9684828463650365
Norway,2019,f,2019f,0.9469208276600969
Azerbaijan,2019,f,2019f,0.9264525345416397
Russia,2019,f,2019f,0.9168991763576706
Iceland,2019,f,2019f,0.8978147809200687
France,2019,f,2019f,0.8660520970514051
Denmark,2019,f,2019f,0.7963661525412379
Cyprus,2019,f,2019f,0.7777728175710363
Estonia,2019,f,2019f,0.6641816030892168
Spain,2019,f,2019f,0.6820383473583179
North Macedonia,2019,f,2019f,0.5726657887100736
Czechia,2019,f,2019f,0.563737416575523
Malta,2019,f,2019f,0.5063279837503628
Greece,2019,f,2019f,0.5086716814356823
Serbia,2019,f,2019f,0.4238521461574518
United Kingdom,2019,f,2019f,0.10814490747974378
Slovenia,2019,f,2019f,0.3263989643088325
Belarus,2019,f,2019f,0.3008414990736816
Israel,2019,f,2019f,0.11979643311533236
Albania,2019,f,2019f,0.0
Germany,2019,f,2019f,0.029285060601325956
San Marino,2019,f,2019f,0.06127095377335333
Australia,2019,Sf1,2019sf1,1.0
Greece,2019,Sf1,2019sf1,1.0
Cyprus,2019,Sf1,2019sf1,0.997907949790795
Iceland,2019,Sf1,2019sf1,0.9965132496513249
Serbia,2019,Sf1,2019sf1,0.99581589958159
Czechia,2019,Sf1,2019sf1,0.99581589958159
Hungary,2019,Sf1,2019sf1,0.9888423988842399
Slovenia,2019,Sf1,2019sf1,0.9755927475592747
Estonia,2019,Sf1,2019sf1,0.9630404463040446
Portugal,2019,Sf1,2019sf1,0.9497907949790795
Belgium,2019,Sf1,2019sf1,0.9239888423988842
Poland,2019,Sf1,2019sf1,0.9128312412831241
Belarus,2019,Sf1,2019sf1,0.9121338912133892
Georgia,2019,Sf1,2019sf1,0.8089260808926081
San Marino,2019,Sf1,2019sf1,0.6708507670850767
Finland,2019,Sf1,2019sf1,0.6304044630404463
Montenegro,2019,Sf1,2019sf1,0.0
Sweden,2019,Sf2,2019sf2,1.0
The Netherlands,2019,Sf2,2019sf2,1.0
Russia,2019,Sf2,2019sf2,1.0
Azerbaijan,2019,Sf2,2019sf2,0.9992301770592764
Switzerland,2019,Sf2,2019sf2,0.9984603541185527
Malta,2019,Sf2,2019sf2,0.9907621247113164
Norway,2019,Sf2,2019sf2,0.9861431870669746
North Macedonia,2019,Sf2,2019sf2,0.9753656658968437
Denmark,2019,Sf2,2019sf2,0.9430331023864511
Armenia,2019,Sf2,2019sf2,0.9322555812163202
Romania,2019,Sf2,2019sf2,0.9291762894534257
Lithuania,2019,Sf2,2019sf2,0.8652809853733641
Albania,2019,Sf2,2019sf2,0.8768283294842186
Moldova,2019,Sf2,2019sf2,0.7890685142417244
Austria,2019,Sf2,2019sf2,0.691301000769823
Croatia,2019,Sf2,2019sf2,0.6250962278675904
Latvia,2019,Sf2,2019sf2,0.13240954580446496
Ireland,2019,Sf2,2019sf2,0.0
Italy,2021,f,2021f,1.0
France,2021,f,2021f,0.9948938239585022
Malta,2021,f,2021f,0.9928675636245745
Ukraine,2021,f,2021f,0.9644999189495866
Finland,2021,f,2021f,0.9726049602852974
Switzerland,2021,f,2021f,0.948289836278165
Iceland,2021,f,2021f,0.948289836278165
Lithuania,2021,f,2021f,0.8105041335710812
Sweden,2021,f,2021f,0.9118171502674663
San Marino,2021,f,2021f,0.8105041335710812
Norway,2021,f,2021f,0.8105041335710812
Portugal,2021,f,2021f,0.709191116874696
Bulgaria,2021,f,2021f,0.709191116874696
Cyprus,2021,f,2021f,0.709191116874696
Azerbaijan,2021,f,2021f,0.48630248014264876
Greece,2021,f,2021f,0.709191116874696
Russia,2021,f,2021f,0.6078781001783109
Serbia,2021,f,2021f,0.6078781001783109
Israel,2021,f,2021f,0.6078781001783109
The Netherlands,2021,f,2021f,0.0
Belgium,2021,f,2021f,0.6078781001783109
United Kingdom,2021,f,2021f,0.6078781001783109
Moldova,2021,f,2021f,0.6078781001783109
Germany,2021,f,2021f,0.0
Spain,2021,f,2021f,0.0
Albania,2021,f,2021f,0.0
Malta,2021,sf1,2021sf1,1.0
Cyprus,2021,sf1,2021sf1,1.0
Ukraine,2021,sf1,2021sf1,0.9986091794158554
Lithuania,2021,sf1,2021sf1,0.9986091794158554
Russia,2021,sf1,2021sf1,0.9916550764951321
Sweden,2021,sf1,2021sf1,0.9860917941585535
Norway,2021,sf1,2021sf1,0.9666203059805285
Croatia,2021,sf1,2021sf1,0.9554937413073713
Azerbaijan,2021,sf1,2021sf1,0.9596662030598053
Belgium,2021,sf1,2021sf1,0.874826147426982
Israel,2021,sf1,2021sf1,0.8845618915159944
Romania,2021,sf1,2021sf1,0.7872044506258692
Australia,2021,sf1,2021sf1,0.6675938803894297
North Macedonia,2021,sf1,2021sf1,0.4450625869262864
Ireland,2021,sf1,2021sf1,0.0
Slovenia,2021,sf1,2021sf1,0.6536856745479832
Switzerland,2021,sf2,2021sf2,1.0
Iceland,2021,sf2,2021sf2,1.0
Bulgaria,2021,sf2,2021sf2,0.9986657771847899
Finland,2021,sf2,2021sf2,0.9986657771847899
Greece,2021,sf2,2021sf2,0.9959973315543695
San Marino,2021,sf2,2021sf2,0.9933288859239493
Portugal,2021,sf2,2021sf2,0.9939959973315544
Serbia,2021,sf2,2021sf2,0.9913275517011341
Albania,2021,sf2,2021sf2,0.9993328885923949
Austria,2021,sf2,2021sf2,0.9533022014676451
Denmark,2021,sf2,2021sf2,0.9299533022014677
Moldova,2021,sf2,2021sf2,0.9019346230820547
Estonia,2021,sf2,2021sf2,0.8105403602401601
Latvia,2021,sf2,2021sf2,0.867244829886591
Czechia,2021,sf2,2021sf2,0.0
Poland,2021,sf2,2021sf2,0.13342228152101399
Georgia,2021,sf2,2021sf2,0.13342228152101399
Ukraine,2022,f,2022f,1.0
Sweden,2022,f,2022f,0.9861175999466062
Spain,2022,f,2022f,0.9577521190682774
United Kingdom,2022,f,2022f,0.9711005806580791
Italy,2022,f,2022f,0.9277180804912234
Norway,2022,f,2022f,0.9277180804912234
Poland,2022,f,2022f,0.7341653874390976
Serbia,2022,f,2022f,0.834278849362611
Greece,2022,f,2022f,0.8175932723753587
Moldova,2022,f,2022f,0.7675365414136022
The Netherlands,2022,f,2022f,0.6674230794900888
Finland,2022,f,2022f,0.4171394246813055
Estonia,2022,f,2022f,0.3337115397450444
Australia,2022,f,2022f,0.3337115397450444
Czechia,2022,f,2022f,0.25028365480878334
Portugal,2022,f,2022f,0.0
Armenia,2022,f,2022f,0.16685576987252226
Germany,2022,f,2022f,0.3337115397450444
France,2022,f,2022f,0.16685576987252226
Azerbaijan,2022,f,2022f,0.16685576987252226
Iceland,2022,f,2022f,0.16685576987252226
Romania,2022,f,2022f,0.0
Switzerland,2022,f,2022f,0.25028365480878334
Belgium,2022,f,2022f,0.3337115397450444
Lithuania,2022,f,2022f,0.0
Ukraine,2022,sf1,2022sf1,1.0
Greece,2022,sf1,2022sf1,1.0
Norway,2022,sf1,2022sf1,1.0
The Netherlands,2022,sf1,2022sf1,1.0
Portugal,2022,sf1,2022sf1,0.9993746091307069
Armenia,2022,sf1,2022sf1,0.9968730456535335
Moldova,2022,sf1,2022sf1,0.9962476547842403
Albania,2022,sf1,2022sf1,0.9781113195747343
Austria,2022,sf1,2022sf1,0.9580988117573485
Latvia,2022,sf1,2022sf1,0.9462163852407756
Lithuania,2022,sf1,2022sf1,0.8911819887429645
Iceland,2022,sf1,2022sf1,0.8986866791744842
Switzerland,2022,sf1,2022sf1,0.8830519074421515
Croatia,2022,sf1,2022sf1,0.8474046278924329
Denmark,2022,sf1,2022sf1,0.859912445278299
Bulgaria,2022,sf1,2022sf1,0.6253908692933083
Slovenia,2022,sf1,2022sf1,0.0
Sweden,2022,sf2,2022sf2,1.0
Poland,2022,sf2,2022sf2,1.0
Australia,2022,sf2,2022sf2,0.998998998998999
Czechia,2022,sf2,2022sf2,0.996996996996997
Estonia,2022,sf2,2022sf2,0.994994994994995
Serbia,2022,sf2,2022sf2,0.975975975975976
Finland,2022,sf2,2022sf2,0.972972972972973
Azerbaijan,2022,sf2,2022sf2,0.964964964964965
Belgium,2022,sf2,2022sf2,0.933933933933934
Malta,2022,sf2,2022sf2,0.93993993993994
San Marino,2022,sf2,2022sf2,0.9389389389389389
Romania,2022,sf2,2022sf2,0.8058058058058057
Ireland,2022,sf2,2022sf2,0.8058058058058057
Israel,2022,sf2,2022sf2,0.7907907907907907
Cyprus,2022,sf2,2022sf2,0.7507507507507507
Montenegro,2022,sf2,2022sf2,0.4504504504504504
North Macedonia,2022,sf2,2022sf2,0.40040040040040037
Georgia,2022,sf2,2022sf2,0.0
Sweden,2023,f,2023f,1.0
Finland,2023,f,2023f,0.9952644674532468
Israel,2023,f,2023f,0.9872381411028174
Ukraine,2023,f,2023f,0.9731920699895659
Italy,2023,f,2023f,0.9491130909382777
Norway,2023,f,2023f,0.9029617144233085
France,2023,f,2023f,0.8126655429809777
Belgium,2023,f,2023f,0.6822377397864998
United Kingdom,2023,f,2023f,0.6822377397864998
Spain,2023,f,2023f,0.6421061080343526
Poland,2023,f,2023f,0.7023035556625733
Croatia,2023,f,2023f,0.6421061080343526
Australia,2023,f,2023f,0.40131631752147046
Austria,2023,f,2023f,0.40131631752147046
Switzerland,2023,f,2023f,0.40131631752147046
Armenia,2023,f,2023f,0.0
Cyprus,2023,f,2023f,0.5417770286539851
Germany,2023,f,2023f,0.40131631752147046
Czechia,2023,f,2023f,0.0
Estonia,2023,f,2023f,0.40131631752147046
Moldova,2023,f,2023f,0.42138213339754393
Lithuania,2023,f,2023f,0.0
Slovenia,2023,f,2023f,0.0
Portugal,2023,f,2023f,0.0
Serbia,2023,f,2023f,0.40131631752147046
Albania,2023,f,2023f,0.0
Finland,2023,sf1,2023sf1,1.0
Sweden,2023,sf1,2023sf1,1.0
Israel,2023,sf1,2023sf1,1.0
Norway,2023,sf1,2023sf1,1.0
Czechia,2023,sf1,2023sf1,0.9977777777777779
Moldova,2023,sf1,2023sf1,0.9866666666666668
Portugal,2023,sf1,2023sf1,0.9711111111111113
Switzerland,2023,sf1,2023sf1,0.9333333333333335
Serbia,2023,sf1,2023sf1,0.9111111111111113
Croatia,2023,sf1,2023sf1,0.9111111111111113
Netherlands,2023,sf1,2023sf1,0.6666666666666666
Malta,2023,sf1,2023sf1,0.6888888888888889
Latvia,2023,sf1,2023sf1,0.3333333333333333
Azerbaijan,2023,sf1,2023sf1,0.11111111111111097
Ireland,2023,sf1,2023sf1,0.0
Austria,2023,sf2,2023sf2,1.0
Australia,2023,sf2,2023sf2,1.0
Armenia,2023,sf2,2023sf2,1.0
Cyprus,2023,sf2,2023sf2,0.998998998998999
Slovenia,2023,sf2,2023sf2,0.998998998998999
Belgium,2023,sf2,2023sf2,0.998998998998999
Poland,2023,sf2,2023sf2,0.997997997997998
Lithuania,2023,sf2,2023sf2,0.992992992992993
Georgia,2023,sf2,2023sf2,0.975975975975976
Estonia,2023,sf2,2023sf2,0.9209209209209209
Albania,2023,sf2,2023sf2,0.9209209209209209
Iceland,2023,sf2,2023sf2,0.8058058058058057
Greece,2023,sf2,2023sf2,0.6006006006006005
Denmark,2023,sf2,2023sf2,0.5505505505505505
San Marino,2023,sf2,2023sf2,0.0
Romania,2023,sf2,2023sf2,0.0
Croatia,2024,f,2024f,1.0
Israel,2024,f,2024f,0.988253217335525
Switzerland,2024,f,2024f,0.988253217335525
France,2024,f,2024f,0.9381389568215531
Ireland,2024,f,2024f,0.9461572385037886
Ukraine,2024,f,2024f,0.8699835625225514
Finland,2024,f,2024f,0.8018281682235497
Italy,2024,f,2024f,0.8419195766347272
Greece,2024,f,2024f,0.40091408411177487
Austria,2024,f,2024f,0.40091408411177487
Spain,2024,f,2024f,0.6013711261676622
United Kingdom,2024,f,2024f,0.6013711261676622
Sweden,2024,f,2024f,0.40091408411177487
Lithuania,2024,f,2024f,0.20045704205588738
Norway,2024,f,2024f,0.40091408411177487
Armenia,2024,f,2024f,0.20045704205588738
Georgia,2024,f,2024f,0.20045704205588738
Cyprus,2024,f,2024f,0.0
Estonia,2024,f,2024f,0.20045704205588738
Germany,2024,f,2024f,0.0
Portugal,2024,f,2024f,0.0
Latvia,2024,f,2024f,0.0
Slovenia,2024,f,2024f,0.0
Luxembourg,2024,f,2024f,0.0
Serbia,2024,f,2024f,0.0
Croatia,2024,sf1,2024sf1,1.0
Ukraine,2024,sf1,2024sf1,1.0
Lithuania,2024,sf1,2024sf1,0.9962962962962962
Ireland,2024,sf1,2024sf1,0.9962962962962962
Finland,2024,sf1,2024sf1,0.9962962962962962
Luxembourg,2024,sf1,2024sf1,0.987037037037037
Cyprus,2024,sf1,2024sf1,0.987037037037037
Poland,2024,sf1,2024sf1,0.9740740740740741
Portugal,2024,sf1,2024sf1,0.9611111111111111
Australia,2024,sf1,2024sf1,0.7777777777777777
Serbia,2024,sf1,2024sf1,0.7814814814814814
Slovenia,2024,sf1,2024sf1,0.6203703703703705
Moldova,2024,sf1,2024sf1,0.6296296296296295
Azerbaijan,2024,sf1,2024sf1,0.0
Iceland,2024,sf1,2024sf1,0.7222222222222223
Netherlands,2024,sf2,2024sf2,1.0
Switzerland,2024,sf2,2024sf2,1.0
Armenia,2024,sf2,2024sf2,0.9951100244498777
Israel,2024,sf2,2024sf2,0.9877750611246944
Greece,2024,sf2,2024sf2,0.9877750611246944
Georgia,2024,sf2,2024sf2,0.9828850855745721
Norway,2024,sf2,2024sf2,0.960880195599022
Estonia,2024,sf2,2024sf2,0.9266503667481663
Austria,2024,sf2,2024sf2,0.9095354523227384
Belgium,2024,sf2,2024sf2,0.8973105134474328
Malta,2024,sf2,2024sf2,0.6308068459657701
Denmark,2024,sf2,2024sf2,0.6210268948655255
San Marino,2024,sf2,2024sf2,0.28117359413202925
Czechia,2024,sf2,2024sf2,0.36674816625916873
Albania,2024,sf2,2024sf2,0.19559902200489
Latvia,2024,sf2,2024sf2,0.0
Sweden,2025,f,2025f,1.0
Austria,2025,f,2025f,0.9989919354838711
France,2025,f,2025f,0.9858870967741936
Israel,2025,f,2025f,0.9677419354838711
Netherlands,2025,f,2025f,0.9516129032258066
Finland,2025,f,2025f,0.9435483870967744
Estonia,2025,f,2025f,0.9274193548387099
Belgium,2025,f,2025f,0.9274193548387099
Albania,2025,f,2025f,0.8750000000000001
Ukraine,2025,f,2025f,0.8467741935483872
Malta,2025,f,2025f,0.8467741935483872
Italy,2025,f,2025f,0.7419354838709677
United Kingdom,2025,f,2025f,0.8467741935483872
Czechia,2025,f,2025f,0.7419354838709677
San Marino,2025,f,2025f,0.8064516129032259
Lithuania,2025,f,2025f,0.685483870967742
Australia,2025,f,2025f,0.685483870967742
Greece,2025,f,2025f,0.7419354838709677
Cyprus,2025,f,2025f,0.8467741935483872
Ireland,2025,f,2025f,0.685483870967742
Germany,2025,f,2025f,0.6048387096774194
Switzerland,2025,f,2025f,0.6048387096774194
Poland,2025,f,2025f,0.6048387096774194
Norway,2025,f,2025f,0.6048387096774194
Slovenia,2025,f,2025f,0.6048387096774194
Denmark,2025,f,2025f,0.20161290322580644
Azerbaijan,2025,f,2025f,0.20161290322580644
Spain,2025,f,2025f,0.6048387096774194
Portugal,2025,f,2025f,0.0
Georgia,2025,f,2025f,0.0
Latvia,2025,f,2025f,0.20161290322580644
Armenia,2025,f,2025f,0.0
